NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,Multiplicador
60,31787,5,5,7,5,1,18/01/2024,NO
60,31786,3,1,8,2,8,18/01/2024,NO
60,31785,4,7,0,8,0,18/01/2024,NO
60,31784,4,9,9,2,3,18/01/2024,NO
60,31783,5,7,3,0,4,18/01/2024,SI
60,31782,4,8,5,1,3,17/01/2024,SI
60,31781,1,6,3,0,7,17/01/2024,NO
60,31780,5,0,5,5,9,17/01/2024,NO
60,31779,8,4,8,2,9,17/01/2024,NO
60,31778,8,4,8,4,7,17/01/2024,SI
60,31777,0,9,9,2,8,16/01/2024,NO
60,31776,2,6,9,9,1,16/01/2024,NO
60,31775,3,3,9,1,2,16/01/2024,SI
60,31774,8,7,6,4,6,16/01/2024,NO
60,31773,5,7,3,7,1,16/01/2024,SI
60,31772,6,0,7,1,5,15/01/2024,NO
60,31771,7,7,8,8,7,15/01/2024,NO
60,31770,2,7,9,0,7,15/01/2024,SI
60,31769,2,0,3,4,1,15/01/2024,NO
60,31768,4,3,5,8,4,15/01/2024,NO
60,31767,4,0,1,3,4,14/01/2024,NO
60,31766,9,0,8,6,7,14/01/2024,NO
60,31765,1,0,3,9,1,14/01/2024,SI
60,31764,1,4,0,9,7,14/01/2024,NO
60,31763,0,4,3,3,9,14/01/2024,SI
60,31762,9,1,8,8,0,13/01/2024,NO
60,31761,3,8,8,3,3,13/01/2024,SI
60,31760,8,8,8,7,0,13/01/2024,NO
60,31759,9,4,2,0,1,13/01/2024,SI
60,31758,4,8,8,6,9,13/01/2024,NO
60,31757,1,5,1,1,1,12/01/2024,SI
60,31756,3,8,3,5,5,12/01/2024,NO
60,31755,8,1,8,4,5,12/01/2024,SI
60,31754,0,3,4,9,5,12/01/2024,SI
60,31753,3,3,2,4,5,12/01/2024,NO
60,31752,4,2,8,4,3,11/01/2024,SI
60,31751,4,3,0,2,4,11/01/2024,SI
60,31750,6,5,6,7,1,11/01/2024,SI
60,31749,3,8,4,6,8,11/01/2024,SI
60,31748,4,4,5,5,4,11/01/2024,NO
60,31747,4,2,9,0,3,10/01/2024,SI
60,31746,3,6,8,2,7,10/01/2024,SI
60,31745,0,7,2,1,7,10/01/2024,NO
60,31744,4,7,4,7,6,10/01/2024,SI
60,31743,6,5,4,3,7,10/01/2024,NO
60,31742,5,4,9,5,6,09/01/2024,SI
60,31741,4,6,0,7,9,09/01/2024,NO
60,31740,4,0,2,5,6,09/01/2024,NO
60,31739,3,9,2,6,2,09/01/2024,NO
60,31738,9,0,2,2,3,09/01/2024,NO
60,31737,5,2,5,7,3,08/01/2024,NO
60,31736,0,8,6,1,1,08/01/2024,NO
60,31735,9,2,9,3,4,08/01/2024,SI
60,31734,6,7,0,2,9,08/01/2024,SI
60,31733,6,7,6,7,9,08/01/2024,NO
60,31732,8,7,0,4,3,07/01/2024,NO
60,31731,4,4,0,6,5,07/01/2024,SI
60,31730,0,8,1,6,5,07/01/2024,NO
60,31729,4,6,9,9,0,07/01/2024,NO
60,31728,8,0,8,8,1,07/01/2024,NO
60,31727,4,9,2,8,1,06/01/2024,NO
60,31726,6,5,5,5,2,06/01/2024,SI
60,31725,6,3,8,7,9,06/01/2024,NO
60,31724,6,6,6,7,4,06/01/2024,SI
60,31723,2,9,0,9,7,06/01/2024,SI
60,31722,5,5,7,9,8,05/01/2024,NO
60,31721,1,4,9,9,6,05/01/2024,NO
60,31720,5,3,8,5,1,05/01/2024,NO
60,31719,8,4,6,0,4,05/01/2024,SI
60,31718,8,4,2,3,4,05/01/2024,NO
60,31717,8,4,3,8,1,04/01/2024,NO
60,31716,1,5,7,7,1,04/01/2024,NO
60,31715,2,6,8,6,5,04/01/2024,SI
60,31714,6,2,3,1,6,04/01/2024,NO
60,31713,0,2,4,8,3,04/01/2024,NO
60,31712,0,1,6,8,4,03/01/2024,NO
60,31711,0,7,9,9,2,03/01/2024,SI
60,31710,6,2,6,4,9,03/01/2024,NO
60,31709,6,1,5,4,8,03/01/2024,NO
60,31708,7,1,8,9,7,03/01/2024,NO
60,31707,8,7,7,1,1,02/01/2024,SI
60,31706,5,4,7,2,8,02/01/2024,NO
60,31705,1,1,5,2,1,02/01/2024,SI
60,31704,5,2,1,7,3,02/01/2024,NO
60,31703,9,4,7,4,2,02/01/2024,NO
60,31702,1,2,4,1,9,01/01/2024,NO
60,31701,5,6,5,7,2,01/01/2024,SI
60,31700,2,2,4,2,2,01/01/2024,SI
60,31699,9,5,1,6,0,01/01/2024,NO
60,31698,5,6,2,2,8,01/01/2024,NO
60,31697,2,9,6,4,9,31/12/2023,SI
60,31696,2,9,9,0,7,31/12/2023,NO
60,31695,3,0,0,7,6,31/12/2023,SI
60,31694,7,2,3,5,3,31/12/2023,NO
60,31693,1,3,1,4,7,31/12/2023,NO
60,31692,8,9,1,6,3,30/12/2023,NO
60,31691,2,3,6,4,3,30/12/2023,NO
60,31690,2,3,1,4,1,30/12/2023,NO
60,31689,9,4,0,4,7,30/12/2023,NO
60,31688,7,8,9,6,6,30/12/2023,SI
60,31687,1,4,4,9,7,29/12/2023,NO
60,31686,9,9,0,5,6,29/12/2023,NO
60,31685,8,2,2,0,3,29/12/2023,NO
60,31684,2,4,7,4,4,29/12/2023,NO
60,31683,1,5,6,1,5,29/12/2023,NO
60,31682,9,7,4,2,1,28/12/2023,NO
60,31681,8,9,2,9,3,28/12/2023,SI
60,31680,3,3,9,2,8,28/12/2023,SI
60,31679,3,5,0,4,0,28/12/2023,SI
60,31678,6,0,8,6,3,28/12/2023,NO
60,31677,3,8,7,1,0,27/12/2023,SI
60,31676,6,4,1,1,1,27/12/2023,NO
60,31675,2,5,8,3,9,27/12/2023,SI
60,31674,3,1,4,4,2,27/12/2023,NO
60,31673,6,6,9,5,4,27/12/2023,NO
60,31672,0,2,7,9,2,26/12/2023,NO
60,31671,9,0,4,9,6,26/12/2023,NO
60,31670,9,3,8,8,7,26/12/2023,NO
60,31669,9,4,1,7,4,26/12/2023,NO
60,31668,9,7,1,5,4,26/12/2023,NO
60,31667,0,4,2,7,7,25/12/2023,NO
60,31666,0,7,8,5,2,25/12/2023,NO
60,31665,2,0,4,8,2,25/12/2023,NO
60,31664,5,8,5,3,1,25/12/2023,NO
60,31663,6,9,6,5,7,25/12/2023,NO
60,31662,7,3,1,0,0,24/12/2023,NO
60,31661,9,6,8,6,1,24/12/2023,NO
60,31660,7,3,9,1,7,24/12/2023,SI
60,31659,1,0,5,1,8,24/12/2023,NO
60,31658,4,6,4,9,1,24/12/2023,SI
60,31657,8,1,7,3,0,23/12/2023,SI
60,31656,5,3,4,9,6,23/12/2023,NO
60,31655,5,8,4,9,4,23/12/2023,NO
60,31654,1,6,7,3,0,23/12/2023,SI
60,31653,8,2,5,6,2,23/12/2023,NO
60,31652,5,8,6,9,6,22/12/2023,SI
60,31651,9,3,9,4,4,22/12/2023,SI
60,31650,3,8,1,4,0,22/12/2023,NO
60,31649,0,7,6,7,7,22/12/2023,SI
60,31648,7,2,3,0,5,22/12/2023,NO
60,31647,9,8,7,9,7,21/12/2023,NO
60,31646,2,3,3,1,7,21/12/2023,NO
60,31645,8,4,7,8,1,21/12/2023,SI
60,31644,6,1,8,5,0,21/12/2023,NO
60,31643,1,8,1,8,9,21/12/2023,SI
60,31642,6,7,6,8,2,20/12/2023,NO
